Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Source,Major Genre,Creative Type,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
The Butterfly Effect,57924679,96046844,,13000000,Jan 23 2004,R,Original Screenplay,Horror/Thriller,Fiction,33,7.8,102982
8MM,36443442,96398826,,40000000,Feb 26 1999,R,Original Screenplay,Horror/Thriller,Fiction,22,6.3,47753
13 Going On 30,57139723,96439723,,30000000,Apr 23 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,,6.1,32634
Phone Booth,46566212,97837138,,11000000,Apr 04 2003,R,Original Screenplay,Horror/Thriller,Fiction,71,7.2,68874
Are We There Yet?,82674398,97918663,,20000000,Jan 21 2005,PG/PG-13,Original Screenplay,Comedy,Fiction,12,4.2,8740
Once Upon a Time in Mexico,56330657,98156459,,29000000,Sep 12 2003,R,Original Screenplay,Action/Adventure,Fiction,68,6.2,54413
Predator,59735548,98267558,,18000000,Jun 12 1987,,Original Screenplay,Action/Adventure,Fiction,76,7.8,88522
Evolution,38311134,98341932,,80000000,Jun 08 2001,PG/PG-13,Original Screenplay,Comedy,Fiction,42,5.9,39590
Crash,54557348,98387109,,6500000,May 06 2005,R,Original Screenplay,Drama,Fiction,75,6.1,20886
Zombieland,75590286,98690286,28281155,23600000,Oct 02 2009,R,Original Screenplay,Comedy,Fiction,89,7.8,81629
Bowfinger,66458769,98699769,,55000000,Aug 13 1999,PG/PG-13,Original Screenplay,Comedy,Fiction,79,6.4,33389
Les Visiteurs,659000,98754000,,7000000,Jul 12 1996,R,Original Screenplay,Comedy,Fiction,,6.7,7393
Nacho Libre,80197993,99197993,46582125,32000000,Jun 16 2006,PG/PG-13,Original Screenplay,Comedy,Fiction,40,5.7,31455
The Wild,37384046,99384046,43063958,80000000,Apr 14 2006,G,Original Screenplay,Action/Adventure,Fiction,19,5.4,8498
Hitman,39687694,99965792,28077100,17500000,Nov 21 2007,R,Original Screenplay,Action/Adventure,Fiction,14,6.8,520
Any Given Sunday,75530832,100230832,,60000000,Dec 22 1999,R,Original Screenplay,Drama,Fiction,49,6.6,48477
Little Miss Sunshine,59891098,100523181,55501748,8000000,Jul 26 2006,R,Original Screenplay,Comedy,Fiction,91,8,151013
Courage Under Fire,59003384,100833145,,46000000,Jul 12 1996,R,Original Screenplay,Drama,Fiction,85,6.6,19682
The Pineapple Express,87341380,100941380,45217362,26000000,Aug 06 2008,R,Original Screenplay,Comedy,Fiction,,,
Kung Fu Hustle,17104669,101004669,,20000000,Apr 08 2005,R,Original Screenplay,Action/Adventure,Fiction,89,,
Scream 2,101363301,101363301,,24000000,Dec 12 1997,R,Original Screenplay,Horror/Thriller,Fiction,80,5.9,48196
Mars Attacks!,37771017,101371017,,80000000,Dec 13 1996,PG/PG-13,Original Screenplay,Comedy,Fiction,50,6.3,76396
Miss Congeniality 2: Armed and Fabulous,48478006,101382396,,60000000,Mar 24 2005,PG/PG-13,Original Screenplay,Comedy,Fiction,,4.7,14297
Little Man,58636047,101636047,32799301,64000000,Jul 14 2006,PG/PG-13,Original Screenplay,Comedy,Fiction,12,5.7,97
John Q,71026631,102226631,,36000000,Feb 15 2002,PG/PG-13,Original Screenplay,Drama,Fiction,22,6.6,32338
Ladder 49,74541707,102332848,,60000000,Oct 01 2004,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,40,6.5,23369
The Cable Guy,60240295,102825796,,47000000,Jun 14 1996,PG/PG-13,Original Screenplay,Comedy,Fiction,52,5.8,51109
Saw,55185045,103096345,,1200000,Oct 29 2004,R,Original Screenplay,Horror/Thriller,Fiction,48,7.7,112785
Snake Eyes,55591409,103891409,,73000000,Aug 07 1998,R,Original Screenplay,Horror/Thriller,Fiction,41,5.8,29321
Under Siege 2: Dark Territory,50024083,104324083,,60000000,Jul 14 1995,R,Original Screenplay,Action/Adventure,Fiction,34,5.1,15218
Dragonheart,51364680,104364680,,57000000,May 31 1996,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,50,6.2,26309
Training Day,76261036,104505362,,45000000,Oct 05 2001,R,Original Screenplay,Drama,Fiction,72,7.6,82057
The Brothers Grimm,37899638,105299638,,80000000,Aug 26 2005,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,37,5.9,43532
Made of Honor,46012734,105508112,14330761,40000000,May 02 2008,PG/PG-13,Original Screenplay,Comedy,Fiction,14,5.5,15260
Mission to Mars,60874615,106000000,,90000000,Mar 10 2000,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,24,5.1,32449
Lost in Translation,44585453,106454000,,4000000,Sep 12 2003,R,Original Screenplay,Drama,Fiction,94,7.9,130998
Spirit: Stallion of the Cimarron,73215310,106515310,,80000000,May 24 2002,G,Original Screenplay,Action/Adventure,Fiction,,6.6,8622
The Chronicles of Riddick,57712751,107212751,,120000000,Jun 11 2004,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,29,6.4,49383
Ace Ventura: Pet Detective,72217396,107217396,,12000000,Feb 04 1994,PG/PG-13,Original Screenplay,Comedy,Fiction,49,6.6,63543
Hidalgo,67286731,107336658,,78000000,Mar 05 2004,PG/PG-13,Original Screenplay,Western/Musical,Fiction,46,6.6,23604
Three Kings,60652036,107752036,,48000000,Oct 01 1999,R,Original Screenplay,Action/Adventure,Fiction,94,7.3,68726
The American President,60022813,107822813,,62000000,Nov 17 1995,PG/PG-13,Original Screenplay,Comedy,Fiction,90,6.8,22780
Planet 51,42194060,108005745,15341764,50000000,Nov 20 2009,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,22,6.1,9645
Billy Elliot,21995263,109280263,,5000000,Oct 13 2000,PG/PG-13,Original Screenplay,Drama,Fiction,85,7.7,38403
Fool's Gold,70231041,109362966,20620930,72500000,Feb 08 2008,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,,7.6,93
Porky's,109492484,109492484,,4000000,Mar 19 1982,,Original Screenplay,Comedy,Fiction,,5.8,15861
The Net,50621733,110521733,,22000000,Jul 28 1995,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,33,5.6,24363
The Forgotton,66711892,111311892,,50000000,Sep 24 2004,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,,4.9,1169
Underworld: Evolution,62318875,111318875,47003121,45000000,Jan 20 2006,R,Original Screenplay,Action/Adventure,Fiction,15,6.6,48551
White Chicks,69148997,111448997,,20000000,Jun 23 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,15,5,25970
Final Destination 3,54098051,112798051,18646884,25000000,Feb 10 2006,R,Original Screenplay,Horror/Thriller,Fiction,45,5.9,32263
Final Destination,53302314,112802314,,23000000,Mar 17 2000,R,Original Screenplay,Horror/Thriller,Fiction,31,6.8,52618
Saw V,56746769,113146769,26535833,10800000,Oct 24 2008,R,Original Screenplay,Horror/Thriller,Fiction,13,5.7,31219
Law Abiding Citizen,73357727,113190972,20038881,53000000,Oct 16 2009,R,Original Screenplay,Horror/Thriller,Fiction,25,7.2,45577
Species,60054449,113354449,,35000000,Jul 07 1995,R,Original Screenplay,Action/Adventure,Fiction,39,5.6,21917
The Score,71069884,113542091,,68000000,Jul 13 2001,R,Original Screenplay,Horror/Thriller,Fiction,74,6.8,42616
Bride Wars,58715510,115150424,29943338,30000000,Jan 09 2009,PG/PG-13,Original Screenplay,Comedy,Fiction,12,5,15762
Step Up,65328121,115328121,51317604,12000000,Aug 11 2006,PG/PG-13,Original Screenplay,Drama,Fiction,19,6.1,21691
Barnyard: The Original Party Animals,72779000,116618084,65043181,51000000,Aug 04 2006,PG/PG-13,Original Screenplay,Comedy,Fiction,23,,
The Siege,40934175,116625798,,70000000,Nov 06 1998,R,Original Screenplay,Action/Adventure,Fiction,44,,
Blue Streak,68208190,117448157,,36000000,Sep 17 1999,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,35,5.9,23545
Disturbia,80209692,117573043,34508128,20000000,Apr 13 2007,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,68,7,72231
Apocalypto,50866635,117785051,43318599,40000000,Dec 08 2006,R,Original Screenplay,Action/Adventure,Fiction,64,7.9,82162
Beverly Hills Cop III,42586861,119180938,,50000000,May 25 1994,R,Original Screenplay,Action/Adventure,Fiction,10,5,21199
Blazing Saddles,119500000,119500000,,2600000,Jan 01 1974,,Original Screenplay,Comedy,,89,7.8,45771
Stepmom,91137662,119709917,,50000000,Dec 25 1998,PG/PG-13,Original Screenplay,Drama,Fiction,43,6.2,18505
Spy Kids 2: The Island of Lost Dreams,85846296,119721296,,38000000,Aug 07 2002,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,75,,
Road Trip,68525609,119739110,,16000000,May 19 2000,R,Original Screenplay,Comedy,Fiction,59,6.4,44702
Volcano,47546796,120100000,,90000000,Apr 25 1997,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,42,5.2,21313
Lethal Weapon,65192350,120192350,,15000000,Mar 06 1987,,Original Screenplay,Action/Adventure,Fiction,90,7.6,54994
Intolerable Cruelty,35327628,121327628,,60000000,Oct 10 2003,PG/PG-13,Original Screenplay,Comedy,Fiction,75,6.4,36323
Mona Lisa Smile,63803100,121598309,,65000000,Dec 19 2003,PG/PG-13,Original Screenplay,Drama,Fiction,35,6.1,23657
Poltergeist,74706019,121706019,,10700000,Jun 04 1982,,Original Screenplay,Horror/Thriller,Fiction,86,7.4,32817
Executive Decision,56679192,122079192,,55000000,Mar 15 1996,R,Original Screenplay,Horror/Thriller,Fiction,65,6.3,18569
Hide and Seek,51100486,123100486,,25000000,Jan 28 2005,R,Original Screenplay,Horror/Thriller,Fiction,12,5.6,30891
Good Morning Vietnam,123922370,123922370,,13000000,Dec 23 1987,,Original Screenplay,Comedy,Fiction,,7.2,32609
Predators,51920690,124549380,,40000000,Jul 09 2010,R,Original Screenplay,Action/Adventure,,63,6.9,22257
The Family Man,75764085,124715863,,60000000,Dec 22 2000,PG/PG-13,Original Screenplay,Comedy,Fiction,52,6.6,34090
"Legally Blonde 2: Red, White & Blonde",90639088,125339088,,25000000,Jul 02 2003,PG/PG-13,Original Screenplay,Comedy,Fiction,,,
American Wedding,104354205,126425115,,55000000,Aug 01 2003,R,Original Screenplay,Comedy,Fiction,56,6.1,52210
U-571,77086030,127630030,,62000000,Apr 21 2000,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,68,6.4,32528
Failure to Launch,88715192,128402901,41348843,50000000,Mar 10 2006,PG/PG-13,Original Screenplay,Comedy,Fiction,25,5.6,20324
Space Cowboys,90454043,128874043,,65000000,Aug 04 2000,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,79,6.3,29983
Jingle All the Way,60592389,129832389,,60000000,Nov 22 1996,PG/PG-13,Original Screenplay,Comedy,Fiction,16,4.9,22928
"You, Me and Dupree",75802010,130402010,41651251,54000000,Jul 14 2006,PG/PG-13,Original Screenplay,Comedy,Fiction,21,6.1,164
Wolf,65011757,131011757,,70000000,Jun 17 1994,R,Original Screenplay,Horror/Thriller,Fiction,60,6,20035
Boomerang,70052444,131052444,,42000000,Jul 01 1992,,Original Screenplay,Comedy,Fiction,37,5.9,202
The School of Rock,81261177,131161177,,20000000,Oct 03 2003,PG/PG-13,Original Screenplay,Comedy,Fiction,,7.2,63188
Save the Last Dance,91038276,131638276,,13000000,Jan 12 2001,PG/PG-13,Original Screenplay,Drama,Fiction,53,5.9,20355
A League of Their Own,107533925,132440066,,40000000,Jul 01 1992,,Original Screenplay,Comedy,Fiction,81,6.9,33426
Saw IV,63300095,134528909,31998452,10000000,Oct 26 2007,R,Original Screenplay,Horror/Thriller,Fiction,17,6,44730
Babel,34302837,135302837,31459208,20000000,Oct 27 2006,R,Original Screenplay,Drama,Fiction,69,7.6,95122
Anaconda,65598907,136998907,,45000000,Apr 11 1997,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,38,4.2,29430
Big Momma's House 2,70165972,137047376,21234176,40000000,Jan 27 2006,PG/PG-13,Original Screenplay,Comedy,Fiction,6,4,11368
Conspiracy Theory,76118990,137118990,,80000000,Aug 08 1997,R,Original Screenplay,Horror/Thriller,Fiction,51,6.5,35719
Last Action/Adventure Hero,50016394,137298489,,85000000,Jun 18 1993,,Original Screenplay,Action/Adventure,Fiction,38,5.9,43171
Platoon,137963328,137963328,,6000000,Dec 19 1986,,Original Screenplay,Drama,Fiction,86,8.2,108641
American Graffiti,115000000,140000000,,777000,Aug 11 1973,,Original Screenplay,Comedy,,97,7.6,30952
Monster House,73661010,140161010,71719512,75000000,Jul 21 2006,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,74,6.8,20689
Scary Movie 2,71277420,141189101,,45000000,Jul 04 2001,R,Original Screenplay,Comedy,Fiction,14,4.7,43941
Bad Boys,65647413,141247413,,23000000,Apr 07 1995,R,Original Screenplay,Action/Adventure,Fiction,39,6.6,53929
Legally Blonde,96493426,141743426,,18000000,Jul 13 2001,PG/PG-13,Original Screenplay,Comedy,Fiction,67,6.2,44128
Phenomenon,104636382,142836382,,32000000,Jul 05 1996,PG/PG-13,Original Screenplay,Drama,Fiction,50,6.3,26823
Spy Game,62362560,143049560,,90000000,Nov 21 2001,R,Original Screenplay,Action/Adventure,Fiction,65,6.9,44850
Surf's Up,58867694,145395745,46260220,100000000,Jun 08 2007,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,77,7,20974
Music and Lyrics,50572589,145556146,21145518,40000000,Feb 14 2007,PG/PG-13,Original Screenplay,Comedy,Fiction,63,6.6,32307
Blades of Glory,118594548,145594548,49219041,61000000,Mar 30 2007,PG/PG-13,Original Screenplay,Comedy,Fiction,69,6.5,51929
The Book of Eli,94835059,146452390,36862324,80000000,Jan 15 2010,R,Original Screenplay,Action/Adventure,Fiction,47,6.9,47733
Swordfish,69772969,147080413,,80000000,Jun 08 2001,R,Original Screenplay,Action/Adventure,Fiction,25,6.3,57952
The Mexican,66808615,147808615,,40000000,Mar 02 2001,R,Original Screenplay,Action/Adventure,Fiction,55,5.9,37696
The Game Plan,90648202,147914546,50113315,22000000,Sep 22 2007,PG/PG-13,Original Screenplay,Comedy,Fiction,27,6.3,14984
Gremlins,148168459,148168459,,11000000,Jun 08 1984,,Original Screenplay,Comedy,Fiction,78,7,42163
Broken Arrow,70645997,148345997,,65000000,Feb 09 1996,R,Original Screenplay,Action/Adventure,Fiction,55,5.8,33584
Death Becomes Her,58422650,149022650,,55000000,Jul 31 1992,,Original Screenplay,Comedy,Fiction,53,6,27681
"Me, Myself & Irene",90570999,149270999,,51000000,Jun 23 2000,R,Original Screenplay,Comedy,Fiction,48,6.9,215
Step Up 2 the Streets,58017783,150017783,21801408,17500000,Feb 14 2008,PG/PG-13,Original Screenplay,Drama,Fiction,25,5.6,20345
Mononoke-hime,2374107,150350000,,20000000,Oct 29 1999,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,,8.3,65773
Speed II: Cruise Control,48097081,150468000,,110000000,Jun 13 1997,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,,3.4,30896
Kill Bill: Volume 2,66207920,150907920,,55000000,Apr 16 2004,R,Original Screenplay,Action/Adventure,Fiction,,8,182834
Big,114968774,151668774,,18000000,Jun 03 1988,,Original Screenplay,Comedy,Fiction,96,7.2,49256
Date Night,98711404,152253432,19432795,55000000,Apr 09 2010,PG/PG-13,Original Screenplay,Comedy,Fiction,67,6.5,22925
Antz,90757863,152457863,,60000000,Oct 02 1998,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,95,6.8,37343
Saw II,87025093,152925093,44699720,5000000,Oct 28 2005,R,Original Screenplay,Horror/Thriller,Fiction,36,6.8,76530
Maid in Manhattan,93932896,154832896,,55000000,Dec 13 2002,PG/PG-13,Original Screenplay,Comedy,Fiction,39,4.6,30370
Scary Movie 3,110000082,155200000,,45000000,Oct 24 2003,PG/PG-13,Original Screenplay,Comedy,Fiction,37,5.4,42829
Monster-in-Law,82931301,155931301,,45000000,May 13 2005,PG/PG-13,Original Screenplay,Comedy,Fiction,16,5.1,16320
America's Sweethearts,93607673,157627733,,46000000,Jul 20 2001,PG/PG-13,Original Screenplay,Comedy,Fiction,32,5.7,26899
Days of Thunder,82670733,157670733,,60000000,Jun 27 1990,,Original Screenplay,Action/Adventure,Fiction,40,5.4,25395
Alien³,54927174,158500000,,55000000,May 22 1992,R,Original Screenplay,Action/Adventure,Fiction,37,6.3,78860
Daylight,32908290,158908290,,80000000,Dec 06 1996,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,22,5.4,20052
Crimson Tide,91387195,159387195,,55000000,May 12 1995,R,Original Screenplay,Action/Adventure,Fiction,86,7.2,33354
The Sting,159616327,159616327,,5500000,Dec 25 1973,,Original Screenplay,,Fiction,91,8.4,65866
Johnny English,28013509,160323929,,45000000,Jul 18 2003,PG/PG-13,Original Screenplay,Comedy,Fiction,33,5.8,29246
Alien: Resurrection,47795018,160700000,,60000000,Nov 26 1997,R,Original Screenplay,Action/Adventure,Fiction,,6.2,66141
Scream 3,89138076,161838076,,40000000,Feb 04 2000,R,Original Screenplay,Horror/Thriller,Fiction,38,5.3,38230
Talladega Nights: The Ballad of Ricky Bobby,148213377,163013377,84838372,73000000,Aug 04 2006,PG/PG-13,Original Screenplay,Comedy,Fiction,72,6.4,50407
The Island,35818913,163018913,,120000000,Jul 22 2005,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,40,6.9,82601
Sweet Home Alabama,127214072,163379330,,38000000,Sep 27 2002,PG/PG-13,Original Screenplay,Comedy,Fiction,37,5.8,29891
The Happening,64506874,163403799,21432877,60000000,Jun 13 2008,R,Original Screenplay,Horror/Thriller,Fiction,18,5.2,72259
Burn After Reading,60355347,163415735,19163475,37000000,Sep 12 2008,R,Original Screenplay,Comedy,Fiction,78,7.2,92553
Four Christmases,120146040,163546040,26029004,80000000,Nov 26 2008,PG/PG-13,Original Screenplay,Comedy,Fiction,25,5.7,14690
Saw III,80238724,163876815,47153811,10000000,Oct 27 2006,R,Original Screenplay,Horror/Thriller,Fiction,25,6.3,60784
The Interpreter,72708161,163954076,,90000000,Apr 22 2005,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,58,6.5,38227
Daddy Day Care,104148781,164285587,,60000000,May 09 2003,PG/PG-13,Original Screenplay,Comedy,Fiction,28,5.5,14944
Bringing Down the House,132675402,164675402,,20000000,Mar 07 2003,PG/PG-13,Original Screenplay,Comedy,Fiction,34,5.4,16242
"Six Days, Seven Nights",74339294,164800000,,80000000,Jun 12 1998,PG/PG-13,Original Screenplay,Comedy,Fiction,37,4.7,48
Deep Blue Sea,73648228,165048228,,60000000,Jul 28 1999,R,Original Screenplay,Action/Adventure,Fiction,57,5.6,44191
Seven Pounds,69951824,166617328,27601737,54000000,Dec 19 2008,PG/PG-13,Original Screenplay,Drama,Fiction,27,7.6,62718
Dodgeball: A True Underdog Story,114326736,167726736,,30000000,Jun 18 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,,6.6,65329
Spy Kids 3-D: Game Over,111760631,167851995,,40000000,Jul 25 2003,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,,4.1,12352
The Emperor's New Groove,89296573,169296573,,100000000,Dec 15 2000,G,Original Screenplay,Action/Adventure,Fiction,85,7.4,23355
Superbad,121463226,169863226,134555373,17500000,Aug 17 2007,R,Original Screenplay,Comedy,Fiction,87,7.8,134212
Along Came Polly,88073507,170360435,,42000000,Jan 16 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,26,5.8,38276
Cloverfield,80048433,170764033,29180398,25000000,Jan 18 2008,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,76,7.4,136068
Blood Diamond,57377916,171377916,62588936,100000000,Dec 08 2006,R,Original Screenplay,Action/Adventure,Fiction,62,8,118925
Couples Retreat,109205660,172450423,34715888,60000000,Oct 09 2009,PG/PG-13,Original Screenplay,Comedy,Fiction,12,5.5,18332
The Santa Clause 2,139225854,172825854,,65000000,Nov 01 2002,G,Original Screenplay,Comedy,Fiction,,5.5,9061
Scream,103046663,173046663,,15000000,Dec 20 1996,R,Original Screenplay,Horror/Thriller,Fiction,81,2.9,217
Evan Almighty,100289690,173219280,38038256,175000000,Jun 22 2007,PG/PG-13,Original Screenplay,Comedy,Fiction,23,5.5,43164
Big Momma's House,117559438,173559438,,33000000,Jun 02 2000,PG/PG-13,Original Screenplay,Comedy,Fiction,30,4.7,21318
Le Fabuleux destin d'AmÈlie Poulain,33201661,174201661,,10350000,Nov 02 2001,R,Original Screenplay,Comedy,Fiction,,8.5,181085
Analyze This,106885658,176885658,,30000000,Mar 05 1999,R,Original Screenplay,Comedy,Fiction,68,6.6,52894
Tootsie,177200000,177200000,,15000000,Dec 17 1982,,Original Screenplay,Comedy,Fiction,87,7.4,31669
The 40 Year-old Virgin,109449237,177339049,,26000000,Aug 19 2005,R,Original Screenplay,Comedy,Fiction,,7.5,94557
Jet Li's Hero,53652140,177352140,,17000000,Aug 27 2004,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,,,
Flushed Away,64665672,177665672,71025931,149000000,Nov 03 2006,PG/PG-13,Original Screenplay,Comedy,Fiction,72,7,21334
Double Jeopardy,116735231,177835231,,40000000,Sep 24 1999,R,Original Screenplay,Action/Adventure,Fiction,25,6,28887
Eagle Eye,101440743,178066569,38374936,80000000,Sep 26 2008,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,27,6.6,52336
Dante's Peak,67163857,178200000,,115000000,Feb 07 1997,PG/PG-13,Original Screenplay,Drama,Fiction,28,5.6,23472
Scary Movie 4,90710620,178710620,22401247,40000000,Apr 14 2006,PG/PG-13,Original Screenplay,Comedy,Fiction,37,5,39542
Moulin Rouge,57386369,179213196,,53000000,May 18 2001,PG/PG-13,Original Screenplay,Western/Musical,Fiction,,7.3,2105
Kill Bill: Volume 1,70098138,180098138,,55000000,Oct 10 2003,R,Original Screenplay,Action/Adventure,Fiction,85,8.2,231761
Paul Blart: Mall Cop,146336178,180449670,53105030,26000000,Jan 16 2009,PG/PG-13,Original Screenplay,Comedy,Fiction,35,5.3,23753
DÈj‡ Vu,64038616,181038616,40502497,80000000,Nov 22 2006,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,,7,66106
Aliens,85160248,183316455,,17000000,Jul 18 1986,R,Original Screenplay,Action/Adventure,Fiction,100,7.5,84
Inside Man,88634237,184634237,37712869,50000000,Mar 24 2006,R,Original Screenplay,Horror/Thriller,Fiction,86,7.7,86229
I Now Pronounce You Chuck and Larry,119725280,185708462,69334335,85000000,Jul 20 2007,PG/PG-13,Original Screenplay,Comedy,Fiction,14,6.1,46347
Wallace & Gromit: The Curse of the Were-Rabbit,56068547,185724838,35069986,30000000,Oct 05 2005,G,Original Screenplay,Action/Adventure,Fiction,95,7.9,38158
The Final Destination,66477700,185777700,10148305,40000000,Aug 28 2009,R,Original Screenplay,Horror/Thriller,Fiction,27,4.9,20319
Tropic Thunder,110461307,188163455,50387300,90000000,Aug 13 2008,R,Original Screenplay,Comedy,Fiction,83,7.2,104839
The Santa Clause,144833357,189800000,,22000000,Nov 11 1994,PG/PG-13,Original Screenplay,Comedy,Fiction,79,6.1,17773
Other Season,85105259,189901703,96622855,85000000,Sep 29 2006,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,47,6,52
The Waterboy,161491646,190191646,,23000000,Nov 06 1998,PG/PG-13,Original Screenplay,Comedy,Fiction,32,5.7,43251
Gangs of New York,77730500,190400000,,97000000,Dec 20 2002,R,Original Screenplay,Drama,Fiction,75,7.4,113378
Hollow Man,73209340,191200000,,90000000,Aug 04 2000,R,Original Screenplay,Horror/Thriller,Fiction,28,5.5,41499
Paranormal Activity,107918810,193770453,14051496,15000,Sep 25 2009,R,Original Screenplay,Horror/Thriller,Fiction,82,6.7,53455
Anger Management,135560942,195660942,,56000000,Apr 11 2003,PG/PG-13,Original Screenplay,Comedy,Fiction,43,6.1,57088
Panic Room,95308367,196308367,,48000000,Mar 29 2002,R,Original Screenplay,Horror/Thriller,Fiction,76,6.9,68737
50 First Dates,120776832,196376832,,75000000,Feb 13 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,44,6.8,64701
Stargate,71565669,196565669,,55000000,Oct 28 1994,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,46,6.7,47174
Spy Kids,112692062,197692062,,35000000,Mar 30 2001,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,93,5.7,23479
The Pacifier,113006880,198006880,,56000000,Mar 04 2005,PG/PG-13,Original Screenplay,Comedy,Fiction,20,5.3,22590
Two Weeks Notice,93354918,199043309,,60000000,Dec 20 2002,PG/PG-13,Original Screenplay,Comedy,Fiction,42,5.8,35515
Gake no ue no Ponyo,15090399,199090399,12626319,34000000,Aug 14 2009,G,Original Screenplay,Action/Adventure,Fiction,,7.8,13821
Cats & Dogs,93375151,200700000,,60000000,Jul 04 2001,PG/PG-13,Original Screenplay,Comedy,Fiction,53,5.2,16912
Philadelphia,77324422,201324422,,26000000,Dec 22 1993,,Original Screenplay,Drama,Fiction,74,7.6,53283
Flashdance,90463574,201463574,,7000000,Apr 15 1983,,Original Screenplay,Drama,Fiction,29,5.6,12485
Kindergarten Cop,91457688,202000000,,26000000,Dec 21 1990,,Original Screenplay,Comedy,Fiction,50,5.8,40433
The Break Up,118806699,202944203,52707367,52000000,Jun 02 2006,PG/PG-13,Original Screenplay,Comedy,Fiction,,5.9,38285
The Ugly Truth,88915214,203115214,33619971,38000000,Jul 24 2009,R,Original Screenplay,Comedy,Fiction,14,6.4,27888
Alien,80930630,203630630,,9000000,May 25 1979,R,Original Screenplay,Horror/Thriller,Fiction,97,8.5,180387
The Holiday,63280000,205190324,71449071,85000000,Dec 08 2006,PG/PG-13,Original Screenplay,Comedy,Fiction,47,6.9,48215
District 9,115646235,206552113,30058184,30000000,Aug 14 2009,R,Original Screenplay,Horror/Thriller,Fiction,91,8.3,151742
Australia,49551662,207482792,28789275,78000000,Nov 26 2008,PG/PG-13,Original Screenplay,Drama,Fiction,54,6.8,38089
The Others,96522687,209947037,,17000000,Aug 10 2001,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,84,7.8,86091
Kingdom of Heaven,47398413,211398413,,110000000,May 06 2005,R,Original Screenplay,Action/Adventure,Fiction,39,7.1,83189
Entrapment,87707396,211700000,,66000000,Apr 30 1999,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,38,6.1,40764
End of Days,66889043,212026975,,100000000,Nov 24 1999,R,Original Screenplay,Action/Adventure,Fiction,11,5.4,43513
Miss Congeniality,106807667,212100000,,45000000,Dec 22 2000,PG/PG-13,Original Screenplay,Comedy,Fiction,41,6.1,42323
Ace Ventura: When Nature Calls,108360063,212400000,,30000000,Nov 10 1995,PG/PG-13,Original Screenplay,Comedy,Fiction,,5.6,51275
Pulp Fiction,107928762,212928762,,8000000,Oct 14 1994,R,Original Screenplay,Drama,Fiction,94,8.9,417703
Vertical Limit,68473360,213500000,,75000000,Dec 08 2000,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,47,5.6,24294
The Patriot,113330342,215300000,,110000000,Jun 28 2000,R,Original Screenplay,Drama,Fiction,62,6.9,78302
Valentine's Day,110485654,215771698,17250458,52000000,Feb 12 2010,PG/PG-13,Original Screenplay,Comedy,Fiction,17,5.7,17599
Twins,111936388,216600000,,15000000,Dec 09 1988,,Original Screenplay,Comedy,Fiction,33,,
Collateral,100170152,217670152,,60000000,Aug 06 2004,R,Original Screenplay,Action/Adventure,Fiction,86,7.8,105362
Knocked Up,148761765,218994109,117601397,27500000,Jun 01 2007,R,Original Screenplay,Comedy,Fiction,90,7.5,111192
Elf,173398518,220443451,,32000000,Nov 07 2003,PG/PG-13,Original Screenplay,Comedy,Fiction,84,6.8,42123
